n,m,PUB:P,PUB:EV,PUB:MS,RET:P,RET:EV,RET:MS,Total
3,3,15.423,5.163,8.512,19.55,9.026,5.079,62.75430200184928
3,3,13.05,5.231,5.266,16.719,5.219,5.276,50.76944999746047
3,3,12.187,5.188,4.967,18.842,5.209,4.977,51.38272166489817
3,3,12.449,5.186,6.34,16.918,5.621,5.122,51.640013331052614
3,3,12.675,5.224,4.928,16.692,5.21,4.963,49.695793000864796
3,3,11.773,5.112,5.166,15.836,5.123,5.019,48.031661330848394
3,3,11.929,5.116,4.932,15.993,5.126,4.961,48.06440966543353
3,3,11.914,5.167,5.01,16.115,5.167,4.995,48.381436000151254
3,3,13.438,5.149,6.13,17.163,5.198,4.997,52.06342399348311
3,3,12.254,5.108,4.873,16.313,5.147,4.975,48.673683338468734
3,3,12.561,5.144,4.938,16.41,5.19,4.948,49.195312669326086
3,3,12.691,5.188,4.95,16.661,5.238,4.964,49.700850333465496
3,3,12.606,5.204,4.936,18.32,5.238,6.529,52.83677400439046
3,3,12.186,5.17,4.966,16.8,5.175,5.073,49.37599333788967
3,3,12.069,5.161,5.0,16.34,5.195,5.062,48.81575866723627
3,3,14.229,5.525,5.024,16.53,5.219,5.051,51.58509166600803
3,3,12.344,5.187,5.001,16.585,5.259,4.984,49.36847533099353
3,3,12.533,5.307,5.214,16.51,5.214,4.973,49.75736466197608
3,3,12.273,5.177,4.974,17.332,5.202,4.939,49.92395499599903
3,3,12.559,5.216,4.937,16.722,5.224,4.962,49.635321333577544
3,3,12.714,5.236,4.989,18.674,6.217,5.531,53.36774999886984
3,3,11.78,5.147,4.985,16.297,5.136,4.959,48.305375995065944
3,3,11.927,5.088,4.917,16.124,5.119,5.063,48.24055133091558
3,3,12.047,5.135,5.415,16.375,5.226,6.289,50.492977670122244
3,3,14.189,5.272,5.201,16.465,5.216,5.128,51.472642668765424
3,3,15.684,5.172,5.339,16.441,5.171,5.485,53.2902583363466
3,3,12.151,5.188,4.921,16.869,5.183,5.014,49.32919299972127
