Timestamp,Name,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-06-05T21:42:22,auditlog,0.59,253.3MiB,0.40,2.52GB,0B,5
2025-06-05T21:42:22,keyrotation,0.08,17.22MiB,0.03,21.8kB,0B,1
2025-06-05T21:42:22,message-store,379.20,639.8MiB,1.02,704MB,0B,5
2025-06-05T21:42:22,als_client_worker,177.49,34.96MiB,0.06,740MB,0B,34
2025-06-05T21:42:22,als_server_worker,156.30,32.89MiB,0.05,1.76MB,0B,34
2025-06-05T21:42:22,scheduler,0.36,17.81MiB,0.03,765kB,0B,1
2025-06-05T21:42:22,jodi-cache,13.09,22.48MiB,0.04,1.14GB,0B,6
2025-06-05T21:42:35,evaluator,396.80,610.8MiB,0.97,527MB,0B,5
2025-06-05T21:42:35,auditlog,12.96,255.4MiB,0.41,2.59GB,0B,5
2025-06-05T21:42:35,keyrotation,0.00,17.22MiB,0.03,22.1kB,0B,1
2025-06-05T21:42:35,message-store,390.39,651.1MiB,1.04,721MB,0B,5
2025-06-05T21:42:35,als_client_worker,234.35,81.26MiB,0.13,760MB,0B,34
2025-06-05T21:42:35,als_server_worker,191.41,19.39MiB,0.03,1.79MB,0B,2
2025-06-05T21:42:35,scheduler,0.47,17.81MiB,0.03,781kB,0B,1
2025-06-05T21:42:35,jodi-cache,13.17,18.48MiB,0.03,1.17GB,0B,6
2025-06-05T21:42:48,evaluator,397.50,621.5MiB,0.99,541MB,0B,5
2025-06-05T21:42:48,auditlog,25.86,253.9MiB,0.40,2.65GB,0B,5
2025-06-05T21:42:48,keyrotation,0.00,17.22MiB,0.03,22.5kB,0B,1
2025-06-05T21:42:48,message-store,397.68,662.3MiB,1.05,739MB,0B,5
2025-06-05T21:42:48,als_client_worker,27.75,19.43MiB,0.03,778MB,0B,2
